# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Mon Sep 26 06:50:01 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  where (pl_pnum > 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_hostname:    Host Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_letter:      Planet Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_discmethod:  Discovery Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_pnum:        Number of Planets in System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjlim:     Planet Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_ttvflag:     TTV Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_dist:        Distance [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_disterr1:    Distance Upper Unc. [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_disterr2:    Distance Lower Unc. [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_distlim:     Distance Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_massblend:   Stellar Mass Blend Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radlim:      Stellar Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radblend:    Stellar Radius Blend Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_ttvflag,st_dist,st_disterr1,st_disterr2,st_distlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend
8,24 Sex,b,Radial Velocity,2,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,0.09,0.14,-0.06,0,1.99,0.26,-0.38,0,Msini,,,,,0,74.79,4.57,-5.21,0,1.54,0.08,-0.08,0,0,4.9,0.08,-0.08,0,0
9,24 Sex,c,Radial Velocity,2,883,32.4,-13.8,0,2.08,0.05,-0.02,0,0.29,0.16,-0.09,0,0.86,0.35,-0.22,0,Msini,,,,,0,74.79,4.57,-5.21,0,1.54,0.08,-0.08,0,0,4.9,0.08,-0.08,0,0
19,47 UMa,b,Radial Velocity,3,1078,2,-2,0,2.1,0.02,-0.02,0,0.032,0.014,-0.014,0,2.53,0.07,-0.06,0,Msini,,,,,0,14.08,0.13,-0.13,0,1.03,0.05,-0.05,0,0,1.23,,,0,0
20,47 UMa,c,Radial Velocity,3,2391,100,-87,0,3.6,0.1,-0.1,0,0.098,0.047,-0.096,0,0.54,0.066,-0.073,0,Msini,,,,,0,14.08,0.13,-0.13,0,1.03,0.05,-0.05,0,0,1.23,,,0,0
21,47 UMa,d,Radial Velocity,3,14002,4018,-5095,0,11.6,2.1,-2.9,0,0.16,0.09,-0.16,0,1.64,0.29,-0.48,0,Msini,,,,,0,14.08,0.13,-0.13,0,1.03,0.05,-0.05,0,0,1.23,,,0,0
24,55 Cnc,b,Radial Velocity,5,14.65152,0.00015,-0.00015,0,0.115227,0.000001,-0.000001,0,0.0034,0.0032,-0.0032,0,0.8306,0.0033,-0.0033,0,Mass,,,,,0,12.53,0.13,-0.13,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0
25,55 Cnc,c,Radial Velocity,5,44.4175,0.0073,-0.0073,0,0.241376,0.000026,-0.000026,0,0.02,0.031,-0.031,0,0.1714,0.0055,-0.0055,0,Mass,,,,,0,12.53,0.13,-0.13,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0
26,55 Cnc,d,Radial Velocity,5,4825,39,-39,0,5.503,0.03,-0.03,0,0.019,0.013,-0.013,0,3.878,0.068,-0.068,0,Mass,,,,,0,12.53,0.13,-0.13,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0
27,55 Cnc,e,Radial Velocity,5,0.736539,0.000007,-0.000007,0,0.01544,0.00009,-0.00009,0,,,,,0.02542,0.00098,-0.00098,0,Mass,0.17,0.007,-0.007,0,0,12.53,0.13,-0.13,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0
28,55 Cnc,f,Radial Velocity,5,262,0.51,-0.51,0,0.788,0.001,-0.001,0,0.305,0.075,-0.075,0,0.141,0.012,-0.012,0,Mass,,,,,0,12.53,0.13,-0.13,0,0.91,0.01,-0.01,0,0,0.94,0.01,-0.01,0,0
30,61 Vir,b,Radial Velocity,3,4.215,0.0006,-0.0006,0,0.050201,0.000005,-0.000005,0,0.12,0.11,-0.11,0,0.016,0.002,-0.002,0,Msini,,,,,0,8.52,0.05,-0.05,0,0.94,0.03,-0.03,0,0,0.96,0.01,-0.01,0,0
31,61 Vir,c,Radial Velocity,3,38.021,0.034,-0.034,0,0.2175,0.0001,-0.0001,0,0.14,0.06,-0.06,0,0.057,0.003,-0.003,0,Msini,,,,,0,8.52,0.05,-0.05,0,0.94,0.03,-0.03,0,0,0.96,0.01,-0.01,0,0
32,61 Vir,d,Radial Velocity,3,123.01,0.55,-0.55,0,0.476,0.001,-0.001,0,0.35,0.09,-0.09,0,0.072,0.008,-0.008,0,Msini,,,,,0,8.52,0.05,-0.05,0,0.94,0.03,-0.03,0,0,0.96,0.01,-0.01,0,0
44,BD+20 2457,b,Radial Velocity,2,379.63,2.01,-2.01,0,1.45,,,0,0.15,0.03,-0.03,0,21.42,,,0,Msini,,,,,0,,,,,2.8,1.5,-1.5,0,0,49,26,-26,0,0
45,BD+20 2457,c,Radial Velocity,2,621.99,10.2,-10.2,0,2.01,,,0,0.18,0.06,-0.06,0,12.47,,,0,Msini,,,,,0,,,,,2.8,1.5,-1.5,0,0,49,26,-26,0,0
50,BD-06 1339,b,Radial Velocity,2,3.8728,0.0004,-0.0004,0,0.0428,0.0007,-0.0007,0,0,,,0,0.027,0.004,-0.004,0,Msini,,,,,0,20.1,0.65,-0.69,0,0.7,,,0,0,,,,,
51,BD-06 1339,c,Radial Velocity,2,125.94,0.44,-0.44,0,0.435,0.007,-0.007,0,0.31,0.11,-0.11,0,0.17,0.03,-0.03,0,Msini,,,,,0,20.1,0.65,-0.69,0,0.7,,,0,0,,,,,
52,BD-08 2823,b,Radial Velocity,2,5.6,0.02,-0.02,0,0.056,0.002,-0.002,0,0.15,0.15,-0.15,0,0.045,0.007,-0.007,0,Msini,,,,,0,42.09,2.67,-3.06,0,0.74,0.07,-0.07,0,0,,,,,
53,BD-08 2823,c,Radial Velocity,2,237.6,1.5,-1.5,0,0.68,0.02,-0.02,0,0.19,0.09,-0.09,0,0.33,0.03,-0.03,0,Msini,,,,,0,42.09,2.67,-3.06,0,0.74,0.07,-0.07,0,0,,,,,
75,CoRoT-24,b,Transit,2,5.1134,0.0006,-0.0006,0,0.056,0.002,-0.002,0,0,,,0,0.018,,,1,Mass,0.33,0.04,-0.04,0,0,600,70,-70,0,0.91,0.09,-0.09,0,0,0.86,0.09,-0.09,0,0
76,CoRoT-24,c,Transit,2,11.759,0.0063,-0.0063,0,0.098,0.003,-0.003,0,0,,,0,0.088,0.035,-0.035,0,Mass,0.44,0.04,-0.04,0,0,600,70,-70,0,0.91,0.09,-0.09,0,0,0.86,0.09,-0.09,0,0
86,CoRoT-7,b,Transit,2,0.85359159,0.00000057,-0.00000057,0,0.017016,0.00017,-0.000036,0,0,,,0,0.018,0.003,-0.003,0,Mass,0.141,0.006,-0.006,0,0,153.7,4.5,-4.5,0,0.91,0.02,-0.02,0,0,0.82,0.02,-0.02,0,0
87,CoRoT-7,c,Radial Velocity,2,3.698,0.003,-0.003,0,0.046,,,0,0,,,0,0.02643,0.00283,-0.00283,0,Mass,,,,,0,153.7,4.5,-4.5,0,0.91,0.02,-0.02,0,0,0.82,0.02,-0.02,0,0
98,GJ 163,b,Radial Velocity,3,8.631,0.001,-0.001,0,0.061,,,0,0.11,0.04,-0.04,0,0.035,,,0,Msini,,,,,0,14.97,0.44,-0.46,0,0.4,0.02,-0.02,0,0,,,,,
99,GJ 163,c,Radial Velocity,3,25.6,0.02,-0.02,0,0.13,,,0,0.08,0.08,-0.08,0,0.024,,,0,Msini,,,,,0,14.97,0.44,-0.46,0,0.4,0.02,-0.02,0,0,,,,,
100,GJ 163,d,Radial Velocity,3,603,12,-12,0,1,,,0,0.41,0.07,-0.07,0,0.079,,,0,Msini,,,,,0,14.97,0.44,-0.46,0,0.4,0.02,-0.02,0,0,,,,,
105,GJ 3293,b,Radial Velocity,2,30.6,0.01,-0.01,0,0.1434,,,0,0.07,0.04,-0.04,0,0.081,0.005,-0.005,0,Msini,,,,,0,,,,,0.42,,,0,0,0.4,0.03,-0.03,0,0
